"BACT_628","Helicobacter hepaticus ATCC 51449"
"BACT_347","Chlamydophila felis Fe/C-56"
"BACT_845","Orientia tsutsugamushi str. Ikeda"
"BACT_1615","Pantoea ananatis LMG 20103"
"BACT_943","Psychrobacter cryohalolentis K5"
"BACT_1639","Streptococcus mutans NN2025"
"BACT_729","Maricaulis maris MCS10"
"BACT_178","Bacteroides finegoldii DSM 17565 "
"BACT_1560","Candidatus Nitrospira defluvii"
"BACT_833","Oceanicola granulosus HTCC2516 "
"BACT_1618","Propionibacterium acnes SK137 "
"BACT_510","Enterobacter sp. 638"
"BACT_155","Bacillus thuringiensis IBL 4222 "
"BACT_92","Aurantimonas manganoxydans SI85-9A1"
"BACT_1558","Brevundimonas subvibrioides ATCC 15264 "
"BACT_1553","Bacillus tusciae DSM 2912"
"BACT_402","Clostridium perfringens C str. JGS1495 "
"BACT_1572","Corynebacterium pseudotuberculosis FRC41"
"BACT_1372","Escherichia coli MS 146-1"
"BACT_173","Bacteroides cellulosilyticus DSM 14838"
"BACT_1491","Staphylococcus aureus A9765"
"BACT_487","Dialister invisus DSM 15470 "
"BACT_418","Collinsella aerofaciens ATCC 25986 "
"BACT_1652","Yersinia pestis Z176003"
"BACT_1029","Salinibacter ruber DSM 13855"
"BACT_105","Bacillus cereus AH187"
"BACT_239","Borrelia valaisiana VS116"
"BACT_1442","Neisseria sp. oral taxon 014 str. F0314"
"BACT_465","Desulfatibacillum alkenivorans AK-01"
"BACT_310","Candidatus Cloacamonas acidaminovorans"
"BACT_468","Desulfohalobium retbaense DSM 5692"
"BACT_1353","Enterococcus faecium D344SRF"
"BACT_191","Bacteroides sp. 4_3_47FAA "
"BACT_745","Methylacidiphilum infernorum V4"
"BACT_727","Mannheimia haemolytica serotype A2 str. OVINE "
"BACT_947","Psychromonas sp. CNPT3 "
"BACT_1081","Sorangium cellulosum 'So ce 56'"
"BACT_986","Rickettsia africae ESF-5"
"BACT_951","Ralstonia pickettii 12J "
"BACT_1404","Gluconacetobacter hansenii ATCC 23769"
"BACT_998","Rickettsia typhi str. Wilmington"
"BACT_1427","Methylosinus trichosporium OB3b"
"BACT_1126","Streptomyces ghanaensis ATCC 14672"
"BACT_564","Fusobacterium mortiferum ATCC 9817 "
"BACT_1642","Thermincola sp. JR"
"BACT_147","Bacillus pseudomycoides DSM 12442 "
"BACT_616","Haemophilus influenzae 22.4-21 "
"BACT_479","Desulfovibrio vulgaris RCH1 "
"BACT_1550","Bacillus megaterium QM B1551"
"BACT_231","Borrelia burgdorferi 80a"
"BACT_859","Pasteuria nishizawae str. North American "
"BACT_376","Clostridium botulinum B str. Eklund 17B"
"BACT_720","Lutiella nitroferrum 2002 "
"BACT_717","Listeria monocytogenes str. 4b H7858 "
"BACT_551","Flavobacteria bacterium MS024-2A "
"BACT_624","Helicobacter acinonychis str. Sheeba"
"BACT_1135","Streptomyces sp. SPB74"
"BACT_765","Microscilla marina ATCC 23134"
"BACT_1448","Peptoniphilus lacrimalis 315-B"
"BACT_1046","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2"
"BACT_215","Bifidobacterium dentium ATCC 27678 "
"BACT_967","Rhodobacter sp. SW2 "
"BACT_98","Bacillus cereus 03BB102"
"BACT_824","Nocardioides sp. JS614"
"BACT_1191","Thermotoga lettingae TMO"
"BACT_1160","Synechococcus sp. WH 5701 "
"BACT_927","Pseudomonas putida F1"
"BACT_252","Brucella ceti str. Cudo "
"BACT_1415","Lactobacillus jensenii 208-1"
"BACT_299","Campylobacterales bacterium GD 1 "
"BACT_1457","Prevotella melaninogenica D18"
"BACT_364","Citreicella sp. SE45"
"BACT_1501","Staphylococcus aureus subsp. aureus H19"
"BACT_747","Methylobacillus flagellatus KT"
"BACT_503","Ehrlichia ruminantium str. Welgevonden"
"BACT_480","Desulfovibrio vulgaris str. 'Miyazaki F'"
"BACT_164","Bacillus thuringiensis serovar pulsiensis BGSC 4CC1"
"BACT_1623","Rhodothermus marinus DSM 4252"
"BACT_916","Providencia rustigianii DSM 4541 "
"BACT_270","Burkholderia graminis C4D1M "
"BACT_662","Lactobacillus buchneri ATCC 11577 "
"BACT_1314","Bacteroides sp. 20_3"
"BACT_853","Parabacteroides sp. D13 "
"BACT_278","Burkholderia thailandensis MSMB43"
"BACT_590","Geobacillus sp. WCH70"
"BACT_1083","Sphingobacterium spiritivorum ATCC 33300 "
"BACT_52","Algoriphagus sp. PR1"
"BACT_1489","Staphylococcus aureus A8819"
"BACT_649","Jonquetella anthropi E3_33 E1"
"BACT_444","Cronobacter turicensis"
"BACT_1032","Salmonella enterica subsp. arizonae serovar 62:z4z23:--"
"BACT_541","Eubacterium siraeum DSM 15702 "
"BACT_1164","Synechococcus sp. WH 8109 "
"BACT_62","Anabaena variabilis ATCC 29413"
"BACT_488","Acidovorax ebreus TPSY"
"BACT_1299","Acinetobacter sp. 6014059"
"BACT_427","Corynebacterium accolens ATCC 49725 "
"BACT_362","Chryseobacterium gleum ATCC 35910"
"BACT_1214","Veillonella parvula DSM 2008 "
"BACT_315","Candidatus Koribacter versatilis Ellin345"
"BACT_1495","Staphylococcus aureus subsp. aureus Btn1260"
"BACT_542","Eubacterium ventriosum ATCC 27560 "
"BACT_1052","Serratia proteamaculans 568"
"BACT_241","Brachyspira hyodysenteriae WA1"
"BACT_1268","Yersinia bercovieri ATCC 43970 "
"BACT_760","Methylovorus sp. SIP3-4"
"BACT_605","Glaciecola sp. HTCC2999 "
"BACT_566","Fusobacterium nucleatum subsp. nucleatum ATCC 25586"
"BACT_1000","Robiginitalea biformata HTCC2501"
"BACT_499","Eggerthella lenta DSM 2243"
"BACT_1414","Lactobacillus iners AB-1"
"BACT_693","Legionella pneumophila str. Corby"
"BACT_1593","Klebsiella variicola At-22"
"BACT_572","Fusobacterium sp. 3_1_5R "
"BACT_1194","Thermotoga neapolitana DSM 4359"
"BACT_665","Lactobacillus crispatus MV-3A-US "
"BACT_960","Rhizobium etli CIAT 894"
"BACT_881","Planctomyces limnophilus DSM 3776"
"BACT_679","Lactobacillus plantarum WCFS1"
"BACT_1235","Vibrio orientalis CIP 102891"
"BACT_1168","Syntrophus aciditrophicus SB"
"BACT_176","Bacteroides dorei DSM 17855"
"BACT_452","Cyanothece sp. PCC 7822"
"BACT_1594","Lactobacillus casei str. Zhang"
"BACT_1658","Hydrogenobaculum sp. SN"
"BACT_1010","Roseobacter sp. MED193 "
"BACT_1460","Prevotella sp. oral taxon 317 str. F0108"
"BACT_1265","Xylanimonas cellulosilytica DSM 15894 "
"BACT_1105","Streptococcus agalactiae COH1 "
"BACT_565","Fusobacterium nucleatum subsp. polymorphum ATCC 10953"
"BACT_902","Prochlorococcus marinus str. MIT 9301"
"BACT_764","Micromonospora sp. ATCC 39149 "
"BACT_43","Aeromonas hydrophila subsp. hydrophila ATCC 7966"
"BACT_1208","Tsukamurella paurometabola DSM 20162 "
"BACT_545","Faecalibacterium prausnitzii A2-165"
"BACT_511","Enterococcus casseliflavus EC10"
"BACT_598","Geobacter metallireducens GS-15"
"BACT_1384","Escherichia coli MS 84-1"
"BACT_1371","Escherichia coli MS 124-1"
"BACT_1429","Micromonospora sp. L5"
"BACT_850","Parabacteroides distasonis ATCC 8503"
"BACT_1329","Burkholderia sp. Ch1-1"
"BACT_973","Rhodobacterales bacterium HTCC2654 "
"BACT_619","Haemophilus somnus 2336"
"BACT_600","Geobacter sp. M18"
"BACT_1071","Shigella sp. D9 "
"BACT_460","Deinococcus deserti VCD115"
"BACT_146","Bacillus mycoides Rock1-4 "
"BACT_1047","Sanguibacter keddieii DSM 10542 "
"BACT_72","Anaeromyxobacter sp. Fw109-5"
"BACT_539","Eubacterium rectale ATCC 33656"
"BACT_346","Chlamydophila caviae GPIC"
"BACT_901","Prochlorococcus marinus str. MIT 9215"
"BACT_1161","Synechococcus sp. WH 7803"
"BACT_533","Escherichia sp. 3_2_53FAA "
"BACT_340","Chlamydia muridarum Nigg"
"BACT_1091","Staphylococcus capitis SK14 "
"BACT_143","Bacillus halodurans C-125"
"BACT_121","Bacillus cereus F65185"
"BACT_309","Candidatus Carsonella ruddii PV"
"BACT_762","Microcoleus chthonoplastes PCC 7420"
"BACT_1409","Lactobacillus amylolyticus DSM 11664"
"BACT_1204","Treponema pallidum subsp. pallidum SS14"
"BACT_177","Bacteroides eggerthii DSM 20697"
"BACT_1183","Thermobifida fusca YX"
"BACT_360","Chromobacterium violaceum ATCC 12472"
"BACT_1382","Escherichia coli MS 69-1"
"BACT_244","Bradyrhizobium sp. BTAi1"
"BACT_311","Candidatus Desulfococcus oleovorans Hxd3"
"BACT_46","Aggregatibacter aphrophilus NJ8700"
"BACT_1068","Shigella boydii CDC 3083-94"
"BACT_1118","Streptococcus sp. 2_1_36FAA"
"BACT_304","Candidatus Accumulibacter phosphatis clade IIA str. UW-1"
"BACT_1002","Roseburia inulinivorans DSM 16841 "
"BACT_172","Bacteroides capillosus ATCC 29799"
"BACT_144","Bacillus licheniformis ATCC 14580"
"BACT_1359","Enterococcus faecium E980"
"BACT_288","Campylobacter gracilis RM3268 "
"BACT_1113","Streptococcus mutans UA159"
"BACT_445","Cryptobacterium curtum DSM 15641"
"BACT_1511","Staphylococcus epidermidis M23864:W2(grey)"
"BACT_1309","Bacillus cereus SJ1"
"BACT_1318","Bacteroides sp. D22"
"BACT_956","Renibacterium salmoninarum ATCC 33209"
"BACT_928","Pseudomonas putida GB-1"
"BACT_819","Nitrosomonas europaea ATCC 19718"
"BACT_470","Desulfonatronospira thiodismutans ASO3-1 "
"BACT_413","Clostridium sp. SS2/1"
"BACT_1182","Thermobaculum terrenum ATCC BAA-798 "
"BACT_237","Borrelia recurrentis A1"
"BACT_1266","Xylella fastidiosa Dixon "
"BACT_151","Bacillus sp. SG-1 "
"BACT_682","Lactobacillus rhamnosus LMS2-1 "
"BACT_734","Marinitoga piezophila KA3 "
"BACT_1278","Yersinia pestis Pestoides A"
"BACT_99","Bacillus cereus 03BB108"
"BACT_1175","Thermoanaerobacter italicus Ab9 "
"BACT_157","Bacillus thuringiensis serovar berliner ATCC 10792 "
"BACT_684","Lactobacillus sakei subsp. sakei 23K"
"BACT_345","Chlamydophila abortus S26/3"
"BACT_1007","Roseobacter sp. AzwK-3b"
"BACT_1155","Synechococcus sp. PCC 7002"
"BACT_1300","Acinetobacter sp. SH024"
"BACT_818","Nitrococcus mobilis Nb-231 "
"BACT_379","Clostridium botulinum Bf "
"BACT_77","Anaplasma phagocytophilum HZ"
"BACT_1446","Parascardovia denticolens F0305"
"BACT_78","Anoxybacillus flavithermus WK1"
"BACT_642","Hyphomonas neptunium ATCC 15444"
"BACT_634","Heliobacterium modesticaldum Ice1"
"BACT_253","Brucella melitensis ATCC 23457"
"BACT_1103","Streptococcus agalactiae 515 "
"BACT_1523","Streptomyces sp. e14"
"BACT_1195","Thermotoga petrophila RKU-1"
"BACT_857","Pasteurella dagmatis ATCC 43325 "
"BACT_410","Clostridium sp. 7_2_43FAA"
"BACT_972","Rhodobacterales bacterium HTCC2255 "
"BACT_507","Enhydrobacter aerosaccus SK60 "
"BACT_407","Clostridium phytofermentans ISDg"
"BACT_1438","Mycoplasma alligatoris A21JP2"
"BACT_10","Acidimicrobium ferrooxidans DSM 10331"
"BACT_1338","Clostridium lentocellum DSM 5427"
"BACT_213","Bifidobacterium breve DSM 20213 "
"BACT_1326","Bulleidia extructa W1219"
"BACT_1143","Sulfurihydrogenibium yellowstonense SS-5 "
"BACT_1203","Treponema denticola ATCC 35405"
"BACT_504","Eikenella corrodens ATCC 23834 "
"BACT_1619","Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1"
"BACT_1498","Staphylococcus aureus subsp. aureus C427"
"BACT_1335","Citromicrobium bathyomarinum JL354"
"BACT_175","Bacteroides coprophilus DSM 18228"
"BACT_517","Enterococcus faecium TX1330"
"BACT_1564","Caulobacter segnis ATCC 21756"
"BACT_1428","Micrococcus luteus SK58"
"BACT_14","Acidobacterium capsulatum ATCC 51196"
"BACT_1243","Vibrio splendidus LGP32"
"BACT_1396","Frankia symbiont of Datisca glomerata"
"BACT_1441","Neisseria polysaccharea ATCC 43768"
"BACT_1102","Streptococcus agalactiae 18RS21 "
"BACT_870","Pelotomaculum thermopropionicum SI"
"BACT_148","Bacillus selenitireducens MLS10"
"BACT_723","Macrococcus caseolyticus JCSC5402"
"BACT_1013","Roseovarius sp. 217 "
"BACT_653","Klebsiella pneumoniae subsp. rhinoscleromatis ATCC 13884"
"BACT_1245","Vibrionales bacterium SWAT-3 "
"BACT_1199","Thiobacillus denitrificans ATCC 25259"
"BACT_1407","Klebsiella sp. 1_1_55"
"BACT_130","Bacillus cereus R309803"
"BACT_264","Burkholderia ambifaria IOP40-10 "
"BACT_467","Desulfobacterium autotrophicum HRM2"
"BACT_1149","Synechococcus sp. BL107 "
"BACT_548","Fibrobacter succinogenes subsp. succinogenes S85"
"BACT_1541","Aminobacterium colombiense DSM 12261"
"BACT_767","Mobiluncus curtisii ATCC 43063 "
"BACT_1229","Vibrio fischeri MJ11"
"BACT_68","Anaerococcus tetradius ATCC 35098"
"BACT_214","Bifidobacterium catenulatum DSM 16992 "
"BACT_1608","Moraxella catarrhalis RH4"
"BACT_458","Dehalococcoides sp. CBDB1"
"BACT_38","Actinomyces odontolyticus ATCC 17982"
"BACT_1093","Staphylococcus epidermidis RP62A"
"BACT_1144","Sulfurimonas denitrificans DSM 1251"
"BACT_578","Fusobacterium varium ATCC 27725 "
"BACT_528","Escherichia coli 83972 "
"BACT_713","Listeria monocytogenes FSL R2-503"
"BACT_826","Nodularia spumigena CCY9414"
"BACT_434","Corynebacterium lipophiloflavum DSM 44291"
"BACT_1123","Streptomyces avermitilis MA-4680"
"BACT_69","Anaerococcus vaginalis ATCC 51170"
"BACT_945","Psychroflexus torquis ATCC 700755"
"BACT_140","Bacillus clausii KSM-K16"
"BACT_1181","Thermoanaerobacterium thermosaccharolyticum DSM 571"
"BACT_630","Helicobacter pylori 98-10 "
"BACT_482","Desulfovibrio vulgaris subsp. vulgaris str. Hildenborough"
"BACT_1324","Brevibacterium mcbrellneri ATCC 49030"
"BACT_1184","Thermodesulfovibrio yellowstonii DSM 11347"
"BACT_1500","Staphylococcus aureus subsp. aureus EMRSA16"
"BACT_593","Geobacillus sp. Y412MC52 "
"BACT_1174","Thermoanaerobacter ethanolicus CCSD1 "
"BACT_615","Haemophilus ducreyi 35000HP"
"BACT_921","Pseudomonas aeruginosa LESB58"
"BACT_481","Desulfovibrio vulgaris subsp. vulgaris DP4"
"BACT_991","Rickettsia endosymbiont of Ixodes scapularis "
"BACT_1242","Vibrio splendidus 12B01"
"BACT_849","Pantoea sp. At-9b "
"BACT_56","Alkaliphilus oremlandii OhILAs"
"BACT_1577","Dehalogenimonas lykanthroporepellens BL-DC-9"
"BACT_1008","Roseobacter sp. CCS2 "
"BACT_1509","Staphylococcus aureus subsp. aureus WBG10049"
"BACT_657","Kribbella flavida DSM 17836"
"BACT_136","Bacillus cereus Rock4-18"
"BACT_810","Neisseria subflava NJ9703 "
"BACT_524","Erythrobacter litoralis HTCC2594"
"BACT_1610","Mycoplasma crocodyli MP145"
"BACT_400","Clostridium perfringens ATCC 13124"
"BACT_359","Chloroherpeton thalassium ATCC 35110"
"BACT_1062","Shewanella piezotolerans WP3"
"BACT_834","Oceanobacillus iheyensis HTE831"
"BACT_343","Chlamydia muridarum Weiss"
"BACT_76","Anaplasma marginale str. Florida"
"BACT_1247","Weissella paramesenteroides ATCC 33313 "
"BACT_373","Clostridium beijerinckii NCIMB 8052"
"BACT_1281","Yersinia ruckeri ATCC 29473 "
"BACT_848","Paenibacillus larvae subsp. larvae BRL-230010"
"BACT_1443","Oenococcus oeni AWRIB429"
"BACT_802","Neisseria cinerea ATCC 14685 "
"BACT_768","Mobiluncus mulieris ATCC 35243"
"BACT_306","Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2"
"BACT_225","Blautia hydrogenotrophica DSM 10507 "
"BACT_255","Brucella neotomae 5K33"
"BACT_16","Acidovorax avenae subsp. citrulli AAC00-1"
"BACT_822","Nitrosospira multiformis ATCC 25196"
"BACT_1272","Yersinia kristensenii ATCC 33638 "
"BACT_1651","Xenorhabdus nematophila ATCC 19061"
"BACT_251","Brucella ceti M644/93/1"
"BACT_1411","Lactobacillus crispatus 214-1"
"BACT_206","Beijerinckia indica subsp. indica ATCC 9039"
"BACT_457","Dehalococcoides ethenogenes 195"
"BACT_1084","Sphingomonas sp. SKA58 "
"BACT_203","Bdellovibrio bacteriovorus HD100"
"BACT_1317","Bacteroides sp. D20"
"BACT_1219","Vibrio cholera CIRS 101 "
"BACT_1628","Shewanella violacea DSS12"
"BACT_104","Bacillus cereus AH1273"
"BACT_843","Oribacterium sp. oral taxon 078 str. F0262 "
"BACT_483","Desulfurivibrio alkaliphilus AHT2 "
"BACT_437","Corynebacterium striatum ATCC 6940 "
"BACT_280","Burkholderia vietnamiensis G4 "
"BACT_984","Rhodospirillum centenum SW"
"BACT_756","Methylococcus capsulatus str. Bath"
"BACT_112","Bacillus cereus ATCC 14579"
"BACT_1316","Bacteroides sp. 3_1_23"
"BACT_512","Enterococcus faecalis ATCC 29200 "
"BACT_804","Neisseria flavescens SK114 "
"BACT_436","Corynebacterium pseudogenitalium ATCC 33035 "
"BACT_964","Rhizobium leguminosarum bv. trifolii WSM1325"
"BACT_1583","Erwinia amylovora ATCC 49946"
"BACT_1100","Stigmatella aurantiaca DW4/3-1"
"BACT_1226","Vibrio cholerae NCTC 8457"
"BACT_234","Borrelia garinii PBi"
"BACT_1186","Thermomonospora curvata DSM 43183 "
"BACT_702","Leptotrichia hofstadii F0254"
"BACT_204","Beggiatoa sp. PS "
"BACT_19","Acinetobacter baumannii AB0057"
"BACT_895","Prevotella oris F0302 "
"BACT_908","Prochlorococcus marinus subsp. marinus str. CCMP1375"
"BACT_799","Nakamurella multipartita DSM 44233"
"BACT_198","Bartonella grahamii as4aup"
"BACT_412","Clostridium sp. M62/1 "
"BACT_1020","Ruminococcus flavefaciens FD-1 "
"BACT_1444","Oscillatoria sp. PCC 6506"
"BACT_823","Nocardia farcinica IFM 10152"
"BACT_637","Hirschia baltica ATCC 49814"
"BACT_584","Gardnerella vaginalis ATCC 14019 "
"BACT_575","Fusobacterium sp. D11 "
"BACT_917","Providencia stuartii ATCC 25827"
"BACT_21","Acinetobacter baumannii ATCC 17978"
"BACT_1405","Haemophilus influenzae HK1212"
"BACT_1350","Enterococcus faecalis R712"
"BACT_1529","Vibrio alginolyticus 40B"
"BACT_1178","Thermoanaerobacter sp. X514"
"BACT_1626","Salinibacter ruber"
"BACT_1522","Streptomyces sp. ACTE"
"BACT_135","Bacillus cereus Rock3-44"
"BACT_275","Burkholderia sp. 383 "
"BACT_44","Aeromonas salmonicida subsp. salmonicida A449"
"BACT_946","Psychromonas ingrahamii 37"
"BACT_1469","Pseudomonas syringae pv. tomato Max13"
"BACT_777","Mycobacterium kansasii ATCC 12478 "
"BACT_687","Lactococcus lactis subsp. cremoris MG1363"
"BACT_335","Caulobacter crescentus NA1000"
"BACT_1374","Escherichia coli MS 182-1"
"BACT_1015","Roseovarius sp. TM1035 "
"BACT_492","Dictyoglomus turgidum DSM 6724"
"BACT_1510","Staphylococcus aureus subsp. aureus WW2703/97"
"BACT_1585","Erwinia billingiae Eb661"
"BACT_409","Clostridium scindens ATCC 35704 "
"BACT_1172","Thermanaerovibrio acidaminovorans DSM 6589"
"BACT_339","Chitinophaga pinensis DSM 2588"
"BACT_639","Holdemania filiformis DSM 12042"
"BACT_1038","Salmonella enterica subsp. enterica serovar Hadar str. RI_05P066"
"BACT_1257","Xanthobacter autotrophicus Py2"
"BACT_1056","Shewanella denitrificans OS217"
"BACT_18","Acidovorax sp. JS42"
"BACT_1575","Deferribacter desulfuricans SSM1"
"BACT_1003","Roseiflexus castenholzii DSM 13941"
